show_id,tipo,pais
MOV_46812,Película,United States of America
MOV_52077,Película,France
MOV_34182,Película,China
MOV_35458,Película,United States of America
MOV_51991,Película,Belgium
MOV_51991,Película,France
MOV_63498,Película,Spain
MOV_63498,Película,United Kingdom
MOV_35402,Película,United States of America
MOV_35402,Película,Canada
MOV_45094,Película,United States of America
MOV_51241,Película,Canada
MOV_62592,Película,United States of America
MOV_46920,Película,France
MOV_46920,Película,Italy
MOV_29564,Película,United States of America
MOV_29564,Película,Canada
MOV_44944,Película,United States of America
MOV_54700,Película,United States of America
MOV_33107,Película,Argentina
MOV_33107,Película,France
MOV_33107,Película,United States of America
MOV_38568,Película,United States of America
MOV_113727,Película,Mexico
MOV_46829,Película,Canada
MOV_46829,Película,Italy
MOV_46829,Película,United States of America
MOV_56937,Película,Norway
MOV_148605,Película,United States of America
MOV_42307,Película,Australia
MOV_29159,Película,Italy
MOV_29159,Película,Spain
MOV_29159,Película,United Kingdom
MOV_29159,Película,United States of America
MOV_36085,Película,Germany
MOV_45324,Película,Canada
MOV_38033,Película,United States of America
MOV_44425,Película,India
MOV_48392,Película,Belgium
MOV_48392,Película,Denmark
MOV_48392,Película,France
MOV_48392,Película,Norway
MOV_48392,Película,Sweden
MOV_38318,Película,Russia
MOV_58051,Película,India
MOV_32926,Película,Turkey
MOV_62321,Película,Greece
MOV_59507,Película,France
MOV_54559,Película,United States of America
MOV_32845,Película,United States of America
MOV_36940,Película,Italy
MOV_58156,Película,Sweden
MOV_59435,Película,United States of America
MOV_62728,Película,France
MOV_62728,Película,United Kingdom
MOV_40794,Película,Italy
MOV_70761,Película,Germany
MOV_70761,Película,Netherlands
MOV_41345,Película,United Kingdom
MOV_51888,Película,United States of America
MOV_48303,Película,France
MOV_48303,Película,Italy
MOV_48303,Película,Belgium
MOV_53172,Película,United States of America
MOV_58718,Película,United Kingdom
MOV_45077,Película,United States of America
MOV_55061,Película,Canada
MOV_67203,Película,United States of America
MOV_67203,Película,Bulgaria
MOV_44027,Película,United States of America
MOV_44992,Película,Canada
MOV_44992,Película,United States of America
MOV_41413,Película,Italy
MOV_49001,Película,France
MOV_63727,Película,Spain
MOV_34335,Película,United States of America
MOV_51071,Película,France
MOV_41135,Película,United States of America
MOV_50090,Película,South Korea
MOV_54441,Película,France
MOV_54441,Película,Italy
MOV_51450,Película,Australia
MOV_51450,Película,France
MOV_51450,Película,Ireland
MOV_50461,Película,Japan
MOV_38448,Película,Ireland
MOV_38448,Película,United States of America
MOV_12645,Película,United States of America
MOV_80188,Película,United States of America
MOV_42296,Película,United States of America
MOV_354870,Película,United Kingdom
MOV_44678,Película,Canada
MOV_44678,Película,United States of America
MOV_43943,Película,United States of America
MOV_38407,Película,China
MOV_38407,Película,United States of America
MOV_234284,Película,Japan
MOV_38180,Película,United States of America
MOV_42189,Película,United States of America
MOV_53404,Película,France
MOV_59944,Película,Japan
MOV_38150,Película,United Kingdom
MOV_57627,Película,Thailand
MOV_36515,Película,United States of America
MOV_121576,Película,Italy
MOV_62439,Película,South Korea
MOV_31900,Película,France
MOV_31900,Película,United States of America
MOV_42950,Película,United States of America
MOV_45745,Película,Netherlands
MOV_44946,Película,United States of America
MOV_48669,Película,United States of America
MOV_35221,Película,United States of America
MOV_48015,Película,United Kingdom
MOV_51512,Película,Canada
MOV_53656,Película,South Korea
MOV_44877,Película,United Kingdom
MOV_40720,Película,France
MOV_40720,Película,United States of America
MOV_36736,Película,United States of America
MOV_34563,Película,United States of America
MOV_43642,Película,United States of America
MOV_49958,Película,Australia
MOV_43090,Película,Canada
MOV_39285,Película,United States of America
MOV_50272,Película,Mexico
MOV_50365,Película,France
MOV_86843,Película,United States of America
MOV_53399,Película,Italy
MOV_47177,Película,United Kingdom
MOV_82628,Película,United States of America
MOV_45075,Película,South Korea
MOV_44263,Película,Hong Kong
MOV_46104,Película,Hong Kong
MOV_40817,Película,Italy
MOV_40817,Película,France
MOV_39053,Película,United States of America
MOV_48946,Película,United Kingdom
MOV_44594,Película,United States of America
MOV_64694,Película,Mexico
MOV_41371,Película,United States of America
MOV_52264,Película,France
MOV_52264,Película,Netherlands
MOV_52264,Película,Switzerland
MOV_52264,Película,Belgium
MOV_45316,Película,India
MOV_75311,Película,United Kingdom
MOV_75311,Película,United States of America
MOV_52259,Película,France
MOV_47763,Película,Canada
MOV_40619,Película,United States of America
MOV_70076,Película,Canada
MOV_70076,Película,United States of America
MOV_299340,Película,Spain
MOV_61404,Película,France
MOV_51090,Película,France
MOV_51090,Película,Belgium
MOV_56014,Película,Italy
MOV_11403,Película,United States of America
MOV_57749,Película,Australia
MOV_46198,Película,United States of America
MOV_136294,Película,France
MOV_55785,Película,France
MOV_55785,Película,Italy
MOV_55785,Película,United Kingdom
MOV_44269,Película,France
MOV_54456,Película,India
MOV_53840,Película,Italy
MOV_51794,Película,United States of America
MOV_55741,Película,China
MOV_75170,Película,United Kingdom
MOV_45332,Película,Spain
MOV_61062,Película,South Korea
MOV_58013,Película,Italy
MOV_47559,Película,United Kingdom
MOV_47559,Película,United States of America
MOV_47559,Película,Kenya
MOV_63414,Película,India
MOV_38264,Película,Hong Kong
MOV_44282,Película,Argentina
MOV_30844,Película,Canada
MOV_30844,Película,Australia
MOV_49821,Película,Brazil
MOV_62871,Película,Belgium
MOV_62871,Película,France
MOV_62871,Película,Germany
MOV_62871,Película,Luxembourg
MOV_56607,Película,South Korea
MOV_45756,Película,Netherlands
MOV_40900,Película,Canada
MOV_40900,Película,United States of America
MOV_46934,Película,Spain
MOV_46934,Película,United Kingdom
MOV_57809,Película,Russia
MOV_46689,Película,Brazil
MOV_46689,Película,United Kingdom
MOV_46368,Película,United States of America
MOV_52338,Película,United States of America
MOV_60809,Película,Germany
MOV_46523,Película,Netherlands
MOV_70740,Película,Canada
MOV_47386,Película,United States of America
MOV_52696,Película,India
MOV_64956,Película,United Kingdom
MOV_64956,Película,United States of America
MOV_52060,Película,United States of America
MOV_41988,Película,United States of America
MOV_38166,Película,United States of America
MOV_57389,Película,Germany
MOV_57389,Película,Italy
MOV_57389,Película,Switzerland
MOV_32612,Película,United States of America
MOV_50053,Película,United States of America
MOV_48243,Película,Hungary
MOV_48243,Película,Ireland
MOV_48243,Película,Norway
MOV_48243,Película,Poland
MOV_35217,Película,Germany
MOV_35217,Película,United States of America
MOV_46064,Película,United States of America
MOV_39693,Película,Hong Kong
MOV_35428,Película,Russia
MOV_35428,Película,Ukraine
MOV_89825,Película,Japan
MOV_54532,Película,United States of America
MOV_37951,Película,India
MOV_129182,Película,Japan
MOV_35716,Película,United States of America
MOV_48373,Película,United States of America
MOV_39440,Película,United States of America
MOV_48393,Película,France
MOV_48393,Película,Spain
MOV_51306,Película,China
MOV_40912,Película,United States of America
MOV_42966,Película,India
MOV_47088,Película,France
MOV_47088,Película,United States of America
MOV_36699,Película,Russia
MOV_318947,Película,United States of America
MOV_52043,Película,France
MOV_50737,Película,Turkey
MOV_40722,Película,United States of America
MOV_71622,Película,Spain
MOV_71622,Película,Mexico
MOV_333926,Película,United States of America
MOV_46040,Película,India
MOV_46789,Película,Denmark
MOV_27004,Película,United States of America
MOV_92472,Película,India
MOV_92472,Película,United States of America
MOV_43727,Película,United States of America
MOV_188282,Película,Japan
MOV_37828,Película,Denmark
MOV_37828,Película,Sweden
MOV_37828,Película,Afghanistan
MOV_84250,Película,Egypt
MOV_188288,Película,Japan
MOV_466852,Película,United States of America
MOV_53514,Película,South Korea
MOV_32407,Película,United Kingdom
MOV_70364,Película,United States of America
MOV_55758,Película,South Korea
MOV_32904,Película,United Kingdom
MOV_56623,Película,France
MOV_44773,Película,United States of America
MOV_52349,Película,France
MOV_40025,Película,Hong Kong
MOV_44811,Película,United States of America
MOV_40911,Película,Taiwan
MOV_316776,Película,Uganda
MOV_47261,Película,Argentina
MOV_47261,Película,Chile
MOV_47261,Película,France
MOV_47261,Película,South Korea
MOV_47261,Película,Spain
MOV_45839,Película,United States of America
MOV_41827,Película,United Kingdom
MOV_44219,Película,United States of America
MOV_36696,Película,United States of America
MOV_36696,Película,Russia
MOV_41518,Película,India
MOV_37659,Película,United States of America
MOV_64205,Película,Thailand
MOV_47557,Película,Russia
MOV_57216,Película,Italy
MOV_56405,Película,Belgium
MOV_56405,Película,France
MOV_51455,Película,Japan
MOV_53459,Película,United Kingdom
MOV_63786,Película,Germany
MOV_38277,Película,France
MOV_40247,Película,United States of America
MOV_48832,Película,United States of America
MOV_51875,Película,United States of America
MOV_66193,Película,United States of America
MOV_60556,Película,Italy
MOV_57019,Película,Argentina
MOV_57019,Película,Spain
MOV_63415,Película,Hong Kong
MOV_46718,Película,United States of America
MOV_62756,Película,India
MOV_56529,Película,United States of America
MOV_67560,Película,Japan
MOV_56929,Película,United States of America
MOV_36298,Película,Italy
MOV_54328,Película,China
MOV_54328,Película,Hong Kong
MOV_41120,Película,Canada
MOV_60575,Película,United Kingdom
MOV_60575,Película,United States of America
MOV_60575,Película,Bulgaria
MOV_63462,Película,Japan
MOV_68193,Película,Canada
MOV_74352,Película,Canada
MOV_56180,Película,Uruguay
MOV_59866,Película,South Korea
MOV_57500,Película,Finland
MOV_57500,Película,Poland
MOV_57500,Película,Austria
MOV_70712,Película,Mexico
MOV_49347,Película,Australia
MOV_92243,Película,Italy
MOV_92243,Película,Netherlands
MOV_35025,Película,France
MOV_72721,Película,Chile
MOV_72721,Película,France
MOV_72721,Película,Germany
MOV_72721,Película,Spain
MOV_72721,Película,United States of America
MOV_57436,Película,Denmark
MOV_53344,Película,United States of America
MOV_44566,Película,India
MOV_37832,Película,France
MOV_121046,Película,Thailand
MOV_38325,Película,Russia
MOV_74471,Película,United Kingdom
MOV_45792,Película,United States of America
MOV_52939,Película,Russia
MOV_69597,Película,India
MOV_53844,Película,France
MOV_46584,Película,Canada
MOV_27651,Película,United States of America
